LCLid,day,energy_median,energy_mean,energy_max,energy_count,energy_std,energy_sum,energy_min,flag
MAC002481,12/18/2012,1.067,1.408,0.131,44,0.179,89.295,2.193,yes
MAC002595,12/17/2013,0.21,0.211,0.722,48,0.145,10.108,0.031,no
MAC004832,2/25/2014,0.121,0.159,0.892,48,0.17,7.609,0.026,no
MAC001835,2/25/2013,0.199,1.93,0.385,21,0.544,38.401,2.23,yes
MAC002481,10/21/2013,0.382,1.303,2.052,20,1.16,25.428,1.567,yes
MAC001448,5/24/2012,0.103,0.104,0.234,48,0.043,4.998,0.036,no
MAC003900,5/25/2013,0.258,0.396,1.379,48,0.329,18.998,0.068,no
MAC003822,6/26/2013,0.099,0.187,1.294,48,0.26,8.991,0.036,no
MAC004567,3/27/2012,0.086,0.085,0.145,48,0.028,4.066,0.046,no
MAC004543,1/30/2013,0.552,0.598,2.151,48,0.419,28.713,0.135,no
MAC001410,8/19/2012,2.863,1.306,1.777,14,0.584,70.965,0.017,yes
MAC002595,10/30/2012,1.465,2.371,2.209,29,1.095,65.175,2.23,yes
MAC000897,2/9/2013,0.115,0.133,0.763,48,0.112,6.407,0.05,no
MAC002214,8/11/2013,0.698,1.921,1.475,46,1.122,96.664,1.788,yes
MAC000897,1/9/2013,1.549,0.014,3.842,19,0.888,75.349,1.068,yes
MAC001410,12/7/2013,0.687,0.83,0.721,47,0.154,76.808,0.927,yes
MAC002859,10/23/2013,1.459,0.331,3.302,46,0.606,88.524,0.465,yes
MAC004567,9/6/2013,0.157,0.202,0.89,48,0.153,9.709,0.045,no
MAC003355,11/20/2013,0.325,0.492,2.747,48,0.484,23.623,0.109,no
MAC005159,7/2/2013,0.238,0.343,1.215,48,0.243,16.445,0.17,no
MAC002862,12/12/2013,0.199,0.526,2.509,48,0.646,25.262,0.033,no
MAC002862,2/7/2014,0.148,0.308,1.558,48,0.386,14.774,0.038,no
MAC003225,8/10/2013,0.205,0.285,0.85,48,0.196,13.661,0.118,no
MAC002595,11/22/2012,1.172,2.405,3.018,45,1.073,47.607,1.502,yes
MAC002481,4/9/2013,0.05,0.691,0.134,28,1.062,99.418,0.655,yes
MAC001410,8/18/2013,0.124,0.227,1.093,48,0.25,10.918,0.056,no
MAC001835,9/26/2012,0.077,1.45,2.887,47,0.044,41.457,2.209,yes
MAC002575,11/27/2012,0.116,0.151,0.877,48,0.159,7.242,0.042,no
MAC001835,10/1/2013,0.729,2.239,1.978,34,1.197,8.405,1.718,yes
MAC000897,10/25/2013,0.198,2.318,3.981,25,1.143,103.407,0.772,yes
MAC001410,3/24/2013,0.505,1.511,0.976,47,0.135,91.835,1.751,yes
MAC002528,4/19/2013,0.965,1.738,1.284,6,0.743,68.444,2.304,yes
MAC003173,12/7/2012,0.183,0.196,0.48,48,0.102,9.384,0.045,no
MAC003900,1/17/2013,0.158,0.204,0.501,48,0.109,9.786,0.066,no
MAC002327,1/21/2013,0.292,2.417,2.837,19,0.264,107.461,1.159,yes
MAC002528,7/9/2012,0.428,0.287,0.36,46,0.827,108.386,1.164,yes
MAC001835,11/2/2013,0.573,0.164,3.823,33,0.404,58.266,0.815,yes
MAC002481,10/25/2012,0.502,1.95,0.163,2,0.538,93.014,0.567,yes
MAC001835,2/28/2013,2.436,0.412,2.428,6,1.164,48.085,1.816,yes
MAC003403,12/14/2013,0.138,0.211,1.051,48,0.204,10.143,0.095,no
MAC004567,11/28/2013,0.183,0.202,0.546,48,0.12,9.686,0.049,no
MAC000606,10/14/2012,0.165,0.189,0.915,48,0.129,9.059,0.061,no
MAC003908,3/9/2013,0.073,0.097,0.299,48,0.065,4.668,0.03,no
MAC002474,9/28/2013,0.043,2.29,1.264,4,1.406,44.603,0.59,yes
MAC001410,1/7/2014,0.17,0.277,1.255,48,0.255,13.312,0.054,no
MAC002481,1/12/2013,1.9,1.216,3.969,4,1.211,78.632,2.231,yes
MAC004417,9/12/2013,0.059,0.117,0.652,48,0.146,5.594,0.014,no
MAC003365,5/28/2013,0.048,0.066,0.35,48,0.067,3.188,0.01,no
MAC002599,2/24/2014,2.739,0.408,3.316,28,0.49,65.748,1.713,yes
MAC000897,1/4/2014,0.42,0.369,3.41,13,0.263,46.025,0.128,yes
MAC001966,6/9/2013,0.553,0.734,1.167,14,0.299,110.62,0.905,yes
MAC004543,3/5/2012,0.395,0.554,1.952,48,0.457,26.596,0.139,no
MAC002859,1/5/2013,1.83,0.155,2.035,45,1.451,112.723,2.091,yes
MAC001410,10/2/2012,0.134,0.263,1.015,48,0.254,12.627,0.054,no
MAC003445,3/25/2013,0.362,0.6,2.012,48,0.491,28.783,0.23,no
MAC002481,8/13/2013,2.488,1.022,3.558,20,1.221,60.732,1.904,yes
MAC003173,9/3/2013,0.148,0.159,0.39,48,0.058,7.646,0.095,no
MAC002582,5/15/2013,2.907,2.19,0.934,34,0.328,82.912,1.869,yes
MAC002528,9/10/2012,1.67,2.206,2.775,11,1.217,102.567,1.145,yes
MAC003580,6/21/2013,0.086,0.118,0.623,48,0.093,5.677,0.048,no
MAC002859,2/22/2013,1.387,0.056,0.384,26,1.428,68.135,0.606,yes
MAC004567,12/26/2013,0.198,0.225,0.878,48,0.171,10.812,0.048,no
MAC000897,8/4/2012,2.865,1.374,0.974,7,0.182,24.489,0.096,yes
MAC004955,10/11/2013,0.161,0.283,1.96,48,0.354,13.596,0.084,no
MAC002859,6/26/2013,0.195,1.01,2.292,40,0.005,8.388,1.419,yes
MAC001448,8/22/2013,1.741,1.19,2.433,11,1.291,88.723,1.923,yes
MAC001448,4/29/2013,2.419,2.387,2.506,39,1.06,59.317,2.243,yes
MAC001835,7/24/2012,2.069,0.127,3.851,45,0.185,98.88,0.151,yes
MAC002582,7/25/2012,1.691,2.065,1.102,36,1.031,88.994,1.07,yes
MAC002595,7/5/2013,2.721,2.457,3.217,10,0.997,33.956,1.45,yes
MAC000606,9/16/2012,2.295,1.453,1.675,35,0.72,41.355,0.196,yes
MAC002327,1/17/2014,0.144,0.149,0.246,48,0.033,7.17,0.11,no
MAC000606,1/23/2013,1.403,2.064,3.487,20,0.299,8.085,0.214,yes
MAC001966,5/8/2013,1.903,0.584,3.98,21,1.067,111.456,0.869,yes
MAC002528,4/8/2013,0.037,0.05,0.293,48,0.043,2.406,0.021,no
MAC000897,1/19/2013,1.384,1.765,0.605,37,1.181,53.029,1.431,yes
MAC002599,8/15/2013,2.219,0.395,1.255,8,0.685,85.054,0.975,yes
MAC001835,12/18/2012,0.35,0.392,1.731,48,0.309,18.825,0.052,no
MAC001835,3/20/2013,0.969,2.453,4.396,32,0.566,77.134,0.74,yes
MAC005159,2/25/2013,0.314,0.35,0.771,48,0.192,16.784,0.167,no
MAC003822,11/14/2013,0.088,0.114,0.243,48,0.071,5.472,0.034,no
MAC002606,10/6/2013,0.199,0.349,1.576,48,0.37,16.769,0.05,no
MAC002606,7/22/2012,0.331,0.491,1.906,48,0.402,23.567,0.11,no
MAC001835,12/27/2012,1.131,0.273,3.052,21,1.409,113.464,1.218,yes
MAC002859,12/18/2012,1.682,0.704,4.443,2,0.911,52.221,1.744,yes
MAC001448,10/29/2012,0.096,0.105,0.212,48,0.05,5.047,0.04,no
MAC001966,4/1/2013,0.283,0.346,0.753,48,0.182,16.586,0.084,no
MAC002214,8/19/2013,0.086,0.207,1.341,8,0.083,107.239,0.739,yes
MAC001448,3/8/2013,0.195,0.294,0.996,35,1.364,104.752,2.229,yes
MAC003903,1/17/2014,0.522,0.582,1.359,48,0.269,27.948,0.246,no
MAC002599,11/15/2012,1.564,0.807,1.883,15,0.937,61.073,0.663,yes
MAC003441,9/19/2013,0.26,0.334,1.352,48,0.261,16.01,0.117,no
MAC004832,1/20/2013,0.262,0.282,0.942,48,0.229,13.534,0.024,no
MAC002528,10/2/2013,2.186,2.245,0.426,1,1.338,53.396,1.03,yes
MAC004955,4/11/2013,0.125,0.193,1.01,48,0.167,9.267,0.081,no
MAC004567,2/19/2014,0.171,0.289,2.323,48,0.45,13.858,0.047,no
MAC005159,6/3/2012,0.227,0.424,1.529,48,0.362,20.356,0.164,no
MAC000897,3/21/2013,0.971,1.458,1.533,19,0.069,3.125,2.066,yes
MAC002595,2/2/2014,2.646,0.207,1.461,21,0.285,85.614,0.574,yes
MAC003441,7/5/2013,0.267,0.274,0.616,48,0.115,13.151,0.123,no
MAC001410,2/8/2014,0.057,0.059,0.102,48,0.018,2.814,0.031,no
MAC002595,2/2/2013,0.144,0.218,1.286,48,0.246,10.463,0.034,no
MAC003403,11/5/2013,0.109,0.147,0.754,48,0.139,7.064,0.05,no
MAC002606,8/20/2012,1.51,1.503,0.831,16,0.721,96.75,0.295,yes
MAC002214,4/6/2013,1.453,2.143,3.913,15,0.748,40.947,0.882,yes
MAC001835,2/27/2014,2.236,0.234,0.028,46,1.317,12.919,0.806,yes
MAC004593,12/18/2013,0.731,0.692,1.47,48,0.451,33.226,0.113,no
MAC001410,8/24/2012,2.847,2.047,2.903,17,0.75,32.18,1.886,yes
MAC003908,11/13/2013,0.045,0.046,0.065,48,0.004,2.2,0.043,no
MAC004832,1/21/2014,0.244,0.258,1.036,48,0.231,12.387,0.025,no
MAC002575,1/26/2013,0.125,0.18,0.944,48,0.189,8.627,0.042,no
MAC005172,9/27/2013,0.146,0.28,1.495,48,0.347,13.416,0.031,no
MAC004832,4/26/2013,0.123,0.201,0.888,48,0.213,9.648,0.024,no
MAC004955,8/23/2012,0.151,0.204,0.989,48,0.169,9.797,0.106,no
MAC002474,8/3/2013,0.849,1.055,2.043,2,0.221,34.036,2.12,yes
MAC003607,12/26/2012,0.538,0.852,2.715,48,0.829,40.892,0.055,no
MAC001448,8/5/2013,2.326,0.903,3.088,11,0.632,50.45,2.244,yes
MAC001835,10/30/2012,2.491,1.505,1.056,28,0.013,10.406,0.081,yes
MAC002474,3/22/2013,0.555,1.004,3.694,42,0.947,48.073,0.683,yes
MAC002862,11/16/2012,0.229,0.327,1.348,48,0.328,15.685,0.043,no
MAC002575,1/12/2014,0.741,1.209,3.632,16,1.13,22.333,1.988,yes
MAC002606,9/2/2013,2.844,0.156,1.379,23,1.03,88.121,1.027,yes
MAC002582,1/22/2013,1.508,1.169,4.837,28,1.15,19.6,1.383,yes
MAC001410,10/8/2013,1.818,1.313,3.795,12,0.308,56.811,1.565,yes
MAC003441,9/27/2013,0.298,0.331,1.192,48,0.216,15.907,0.123,no
MAC003355,6/16/2013,0.209,0.276,0.94,48,0.178,13.234,0.112,no
MAC002474,4/2/2013,0.113,0.185,1.145,48,0.242,8.867,0.008,no
MAC002481,8/29/2013,0.042,0.578,2.313,44,0.24,105.989,0.669,yes
MAC000897,6/16/2012,0.099,0.1,0.291,48,0.052,4.819,0.052,no
MAC001966,12/3/2012,2.531,1.282,1.788,15,1.194,103.175,0.743,yes
MAC001448,8/11/2012,0.182,0.186,0.388,48,0.081,8.907,0.062,no
MAC002214,8/29/2012,0.861,1.053,2.716,19,0.629,46.719,1.301,yes
MAC002214,6/18/2013,1.3,1.985,2.455,8,0.5,32.77,2.133,yes
MAC002595,3/13/2013,1.681,1.207,2.026,39,1.136,9.195,1.83,yes
MAC002582,4/11/2013,0.792,0.46,0.314,38,0.04,113.627,1.975,yes
MAC002528,5/4/2013,2.815,1.781,4.304,7,1.223,111.467,1.108,yes
MAC002595,6/26/2013,2.585,1.475,0.627,43,1.299,90.903,0.414,yes
MAC002327,8/30/2012,0.206,0.29,0.985,48,0.216,13.918,0.107,no
MAC002481,9/5/2013,0.243,0.278,0.66,48,0.134,13.366,0.111,no
MAC001966,10/28/2013,2.297,0.138,0.227,12,0.991,102.283,1.155,yes
MAC000897,5/11/2013,1.53,1.024,0.332,12,0.332,34.115,0.682,yes
MAC003903,9/2/2013,0.311,0.355,0.8,48,0.165,17.06,0.118,no
MAC002862,9/28/2013,0.227,0.311,1.099,48,0.298,14.905,0.044,no
MAC001966,10/20/2012,0.697,0.735,1.78,48,0.458,35.298,0.118,no
MAC005172,3/19/2013,0.112,0.175,0.641,48,0.153,8.408,0.034,no
MAC003903,9/25/2013,0.325,0.415,1.272,48,0.281,19.898,0.137,no
MAC002214,5/5/2013,0.047,0.052,0.096,48,0.019,2.48,0.028,no
MAC003355,11/1/2012,0.191,0.312,1.029,48,0.238,14.968,0.107,no
MAC001410,4/9/2013,0.132,0.239,0.891,48,0.228,11.452,0.047,no
MAC000897,4/22/2013,1.581,0.625,1.032,21,0.152,56.771,0.5,yes
MAC002575,11/9/2012,2.714,1.506,0.174,9,0.488,8.596,1.908,yes
MAC004957,8/8/2013,0.03,0.036,0.139,48,0.033,1.743,0,no
MAC002474,7/29/2012,2.869,1.647,0.614,43,0.779,83.236,1.158,yes
MAC002327,10/10/2013,2.941,0.902,4.166,6,0.38,92.187,1.681,yes
MAC003607,1/30/2013,0.515,0.681,1.97,48,0.435,32.672,0.244,no
MAC002327,7/31/2013,0.216,0.268,1.003,47,0.17,12.592,0.124,no
MAC001835,12/6/2013,0.871,2.073,1.03,12,0.23,25.346,0.483,yes
MAC004593,3/18/2013,1.594,1.606,3.569,48,0.908,77.09,0.607,no
MAC004832,3/31/2013,0.239,0.32,1.617,48,0.297,15.338,0.024,no
MAC002582,6/30/2013,2.255,2.457,1.473,6,0.964,92.416,0.024,yes
MAC002859,7/7/2013,2.559,2.406,3.31,9,0.541,20.505,0.538,yes
MAC002575,6/30/2013,0.07,0.089,0.261,48,0.047,4.261,0.041,no
MAC002528,9/19/2013,0.036,0.038,0.09,48,0.015,1.845,0.021,no
MAC002595,9/23/2013,0.728,0.897,0.776,24,1.06,68.076,0.776,yes
MAC002862,9/12/2013,0.037,0.037,0.051,48,0.009,1.764,0.021,no
MAC000897,2/27/2014,0.054,0.084,0.252,48,0.053,4.037,0.036,no
MAC004408,5/21/2012,0.15,0.163,0.512,48,0.111,7.82,0.047,no
MAC002481,1/17/2013,2.821,0.11,0.447,23,0.119,13.423,1.631,yes
MAC003441,12/19/2012,0.319,0.341,0.976,48,0.226,16.345,0.082,no
MAC001835,9/24/2012,1.042,1.153,3.534,27,0.379,51.455,1.975,yes
MAC002481,2/2/2013,0.44,0.84,1.65,14,0.611,105.413,0.985,yes
MAC001835,2/2/2014,0.308,0.346,1.199,48,0.262,16.587,0.056,no
MAC002599,1/7/2013,0.313,2.205,2.067,19,0.372,89.675,1.825,yes
MAC004287,5/27/2012,0.264,0.296,1.108,48,0.208,14.222,0.079,no
MAC002859,1/23/2013,0.086,0.748,4.642,16,0.067,116.123,1.807,yes
MAC001410,9/10/2013,2.945,1.788,1.417,29,0.826,107.709,1.829,yes
MAC003225,6/15/2013,0.201,0.275,0.908,48,0.197,13.182,0.126,no
MAC001410,7/31/2012,2.633,0.363,0.133,39,0.966,52.111,1.059,yes
MAC005159,7/3/2013,0.215,0.301,0.873,48,0.185,14.459,0.161,no
MAC001410,2/3/2013,0.333,0.33,0.904,48,0.207,15.822,0.065,no
MAC002528,11/15/2013,2.249,1.107,4.487,23,0.546,93.091,0.549,yes
MAC002595,4/30/2013,0.553,1.347,1.411,34,0.471,70.195,1.463,yes
MAC001966,3/9/2013,2.379,0.205,1.282,4,0.55,49.484,0.718,yes
MAC002595,9/19/2012,1.044,1.631,0.212,32,0.499,0.815,1.23,yes
MAC003580,10/20/2012,0.13,0.175,0.791,48,0.142,8.381,0.046,no
MAC002474,2/16/2013,0.169,0.908,2.565,45,0.776,103.293,0.815,yes
MAC002595,8/20/2012,2.09,2.355,2.159,47,0.773,47.18,1.642,yes
MAC002606,8/6/2013,1.521,1.548,1.33,11,1.172,42.099,0.021,yes
MAC001448,8/17/2013,0.139,0.141,0.25,48,0.04,6.769,0.059,no
MAC002575,11/5/2013,0.799,0.565,2.539,24,0.227,61.81,1.629,yes
MAC004543,9/30/2012,0.281,0.311,0.601,48,0.105,14.94,0.188,no
MAC001835,11/5/2013,2.844,0.941,2.895,20,0.841,20.349,0.256,yes
MAC002599,8/20/2013,0.829,0.542,2.083,38,0.372,94.244,1.288,yes
MAC002595,1/21/2013,0.206,0.244,0.996,48,0.206,11.72,0.033,no
MAC002214,9/15/2013,0.09,0.111,0.564,48,0.08,5.333,0.043,no
MAC002599,12/20/2013,1.547,1.121,2.998,33,0.881,70.258,0.021,yes
MAC002595,1/13/2014,2.55,1.056,3.441,11,1.041,25.398,0.113,yes
MAC004567,7/20/2013,0.189,0.188,0.417,48,0.1,9.003,0.044,no
MAC002481,4/7/2013,0.19,0.234,0.93,48,0.144,11.249,0.092,no
MAC000897,8/28/2013,0.46,2.32,0.964,14,0.714,79.37,0.512,yes
MAC000606,8/15/2012,1.287,0.908,0.868,42,1.443,97.356,0.271,yes
MAC001448,11/27/2012,2.407,1.363,0.89,24,0.862,78.481,0.256,yes
MAC002595,7/18/2013,2.476,0.434,3.696,47,0.558,1.864,1.432,yes
MAC003607,8/15/2013,0.107,0.112,0.193,48,0.032,5.353,0.067,no
MAC002214,9/19/2013,0.097,0.127,0.444,48,0.089,6.103,0.045,no
MAC003221,7/22/2013,0.055,0.055,0.058,48,0.001,2.651,0.053,no
MAC001410,6/22/2012,0.896,1.056,4.783,2,0.453,105.827,2.052,yes
MAC004955,7/27/2012,0.267,0.324,0.899,48,0.205,15.53,0.109,no
MAC002214,9/14/2013,1.017,0.731,1.79,35,1.302,30.518,1.816,yes
MAC001448,11/17/2012,1.882,0.965,4.638,15,0.18,100.856,1.22,yes
MAC002582,10/8/2013,2.193,1.929,4.47,32,1.02,20.679,1.895,yes
MAC002214,2/22/2013,0.164,0.24,0.997,48,0.202,11.508,0.051,no
MAC002481,1/9/2014,0.799,0.605,4.839,25,1.087,99.274,2.052,yes
MAC003225,7/12/2013,0.173,0.212,0.753,48,0.136,10.156,0.093,no
MAC000606,1/29/2013,2.479,0.541,1.224,2,1.218,29.219,1.916,yes
MAC002528,5/22/2013,2.864,1.446,3.768,24,1.198,13.059,0.863,yes
MAC003403,11/8/2012,0.09,0.117,0.301,48,0.066,5.628,0.045,no
MAC002327,12/4/2013,0.701,0.603,4.549,12,0.351,2.583,0.619,yes
MAC002528,8/25/2012,0.462,1.575,0.396,23,0.838,91.156,2.223,yes
MAC003355,1/18/2013,0.391,0.443,1.049,48,0.236,21.24,0.173,no
MAC004957,3/17/2012,0.058,0.08,0.358,48,0.081,3.846,0.006,no
MAC002575,10/1/2012,2.737,0.868,4.649,8,0.666,0.864,0.54,yes
MAC002214,1/25/2014,1.584,1.905,4.552,18,0.746,11.63,0.636,yes
MAC002528,10/10/2013,2.088,0.584,4.431,31,1.359,48.722,0.783,yes
MAC004832,5/2/2013,0.066,0.163,0.977,48,0.195,7.807,0.022,no
MAC003427,3/26/2013,0.254,0.41,1.657,48,0.401,19.693,0.068,no
MAC003225,7/5/2013,0.159,0.179,0.366,48,0.063,8.577,0.096,no
MAC002582,7/25/2012,0.13,0.148,0.479,48,0.103,7.109,0.049,no
MAC004543,7/13/2012,0.244,0.308,0.837,48,0.165,14.781,0.136,no
MAC003876,9/30/2013,0.368,0.468,1.396,48,0.269,22.465,0.247,no
MAC003876,12/17/2012,0.296,0.368,1.134,48,0.297,17.663,0.049,no
MAC002327,2/25/2013,0.088,0.09,0.143,46,0.017,4.135,0.06,no
MAC002327,2/25/2014,0.505,0.483,0.233,32,1.046,110.335,1.02,yes
MAC002327,9/22/2012,1.437,2.17,3.544,6,0.628,73.398,1.353,yes
MAC002859,8/1/2012,0.176,0.216,0.746,48,0.178,10.378,0.053,no
MAC002595,1/1/2013,1.943,2.172,1.14,6,0.597,56.96,1.876,yes
MAC002481,1/4/2014,0.229,0.291,1.047,48,0.176,13.977,0.117,no
MAC001835,2/12/2013,2.231,1.535,3.119,21,1.43,2.114,0.561,yes
MAC002599,2/19/2014,0.38,0.597,1.175,47,0.392,97.301,1.204,yes
MAC004543,11/12/2012,0.418,0.469,1.307,48,0.294,22.509,0.169,no
MAC004287,12/8/2012,0.256,0.338,0.797,48,0.237,16.239,0.076,no
MAC002859,1/15/2013,0.071,0.236,0.992,48,0.272,11.349,0.053,no
MAC002582,11/7/2013,0.113,0.178,0.865,48,0.17,8.55,0.029,no
MAC002859,10/18/2012,0.112,0.199,0.712,48,0.184,9.552,0.053,no
MAC004593,1/9/2013,1.598,1.521,3.092,48,0.632,73.004,0.669,no
MAC003822,4/22/2013,0.093,0.099,0.202,48,0.048,4.765,0.032,no
MAC002481,3/14/2013,1.75,0.165,0.622,14,0.359,58.113,1.256,yes
MAC001410,2/10/2013,2.066,2.149,3.735,31,0.481,18.277,2.097,yes
MAC002214,1/10/2013,2.463,1.972,3.92,21,0.74,37.802,1.365,yes
MAC002481,5/21/2012,0.209,0.255,0.748,48,0.168,12.259,0.063,no
MAC002859,1/6/2014,0.103,0.288,1.801,48,0.399,13.804,0.054,no
MAC000897,1/8/2013,0.065,0.103,0.261,48,0.063,4.962,0.038,no
MAC004287,5/28/2013,0.229,0.225,0.5,48,0.112,10.778,0.071,no
MAC000897,1/18/2013,0.778,0.677,4.769,46,1.223,58.619,0.555,yes
MAC001410,6/29/2013,0.119,0.2,0.682,48,0.174,9.623,0.054,no
MAC000897,12/22/2012,0.109,0.141,0.684,48,0.107,6.78,0.048,no
MAC002474,11/21/2012,1.144,1.616,4.356,26,0.411,93.389,1.857,yes
MAC002575,1/3/2014,1.587,0.588,2.802,42,0.601,104.291,1.677,yes
MAC001448,11/15/2012,0.093,0.111,0.31,48,0.06,5.348,0.039,no
MAC000606,11/16/2012,1.958,0.763,1.081,16,0.275,2.469,0.83,yes
MAC001835,12/28/2012,0.458,0.505,1.623,48,0.375,24.246,0.066,no
MAC000606,10/14/2012,1.989,1.882,0.436,26,0.07,111.707,0.661,yes
MAC001448,1/7/2013,2.188,0.573,1.902,20,0.23,74.334,1.649,yes
MAC002595,12/21/2012,1.834,2.077,0.698,27,0.816,50.537,1.691,yes
MAC005159,12/12/2013,0.268,0.393,1.236,48,0.257,18.857,0.166,no
MAC002859,7/31/2013,2.941,1.383,3.167,25,1.415,8.035,2.168,yes
MAC002575,2/17/2014,0.068,0.096,0.224,48,0.048,4.626,0.052,no
MAC004832,9/25/2012,0.174,0.291,1.122,48,0.279,13.982,0.024,no
MAC002327,5/1/2013,2.751,1.021,1.637,19,1.036,108.376,0.795,yes
MAC001448,5/17/2013,0.101,0.099,0.156,48,0.026,4.768,0.057,no
MAC002599,1/8/2013,0.372,1.952,0.889,40,0.381,105.775,1.276,yes
MAC002582,7/17/2012,0.237,0.865,1.612,3,0.344,105.199,0.845,yes
MAC002214,6/6/2013,0.102,0.117,0.393,48,0.071,5.593,0.037,no
MAC002606,1/28/2013,0.178,0.214,0.714,48,0.14,10.278,0.045,no
MAC002575,8/16/2013,2.672,0.987,2.325,23,1.06,3.588,1.109,yes
MAC003876,11/14/2013,0.454,0.654,1.784,48,0.432,31.377,0.246,no
MAC004832,9/13/2013,0.172,0.213,0.984,48,0.185,10.206,0.027,no
MAC003211,9/2/2013,0.181,0.303,1.77,48,0.272,14.553,0.104,no
MAC002595,10/31/2013,0.138,0.185,1.315,48,0.216,8.863,0.031,no
MAC002481,2/26/2014,1.228,1.458,4.081,38,1.065,56.384,1.033,yes
MAC003427,9/19/2013,0.199,0.286,1.663,48,0.318,13.751,0.111,no
MAC002595,3/10/2013,0.524,2.172,2.141,44,1.01,100.172,1.211,yes
MAC003211,2/5/2014,0.202,0.416,2.036,48,0.485,19.946,0.076,no
MAC004955,4/11/2012,0.144,0.18,0.599,48,0.106,8.642,0.102,no
MAC001966,10/4/2012,0.305,1.525,2.68,41,1.076,115.617,1.452,yes
MAC000606,8/22/2012,0.163,0.198,0.55,48,0.119,9.511,0.053,no
MAC002481,11/1/2013,2.821,0.043,4.727,42,1.268,82.817,1.979,yes
MAC003387,2/19/2013,0.045,0.058,0.321,48,0.05,2.794,0.018,no
MAC003173,10/27/2012,0.196,0.21,0.531,48,0.084,10.086,0.094,no
MAC002474,6/5/2012,1.073,1.959,1.267,42,0.734,75.09,2.068,yes
MAC002606,6/2/2013,1.05,1.339,2.415,0,1.037,75.886,1.258,yes
MAC001410,1/21/2013,1.964,1.925,3.405,5,0.881,76.513,1.49,yes
MAC003225,6/22/2013,0.181,0.214,0.883,48,0.127,10.253,0.119,no
MAC002481,10/26/2013,0.485,1.271,1.275,27,0.053,21.596,0.954,yes
MAC002599,11/11/2012,1.29,2.294,4.378,4,0.885,69.932,0.457,yes
MAC002481,12/17/2012,2.476,0.659,2.817,24,0.997,14.58,2.02,yes
MAC001448,12/9/2013,2.767,0.248,3.794,22,1.333,89.56,2.21,yes
MAC001966,12/24/2013,1.211,0.299,1.641,46,0.868,111.015,0.605,yes
MAC002595,2/2/2013,1.923,2.024,1.418,25,0.77,18.375,1.629,yes
MAC002474,12/4/2012,1.008,1.149,0.607,4,0.945,44.468,0.308,yes
MAC003559,1/14/2014,0.17,0.305,3.352,48,0.505,14.646,0.064,no
MAC001966,6/23/2013,0.255,0.237,0.611,48,0.083,11.393,0.084,no
MAC003445,4/13/2013,0.322,0.362,1.145,48,0.212,17.372,0.153,no
MAC000897,12/20/2012,1.568,2.107,2.132,3,0.169,0.378,1.07,yes
